density	effective_diffusion
0.30000000	0.65803380
0.30898940	0.64896138
0.31797880	0.63994694
0.32696819	0.63098956
0.33595759	0.62208834
0.34494699	0.61324235
0.35393639	0.60445065
0.36292578	0.59571231
0.37191518	0.58702636
0.38090458	0.57839185
0.38989398	0.56980780
0.39888338	0.56127321
0.40787277	0.55278710
0.41686217	0.54434842
0.42585157	0.53595616
0.43484097	0.52760925
0.44383036	0.51930663
0.45281976	0.51104721
0.46180916	0.50282988
0.47079856	0.49465350
0.47978795	0.48651692
0.48877735	0.47841894
0.49776675	0.47035835
0.50675615	0.46233390
0.51574555	0.45434430
0.52473494	0.44638823
0.53372434	0.43846431
0.54271374	0.43057113
0.55170314	0.42270719
0.56069253	0.41487096
0.56968193	0.40706082
0.57867133	0.39927506
0.58766073	0.39151187
0.59665013	0.38376935
0.60563952	0.37604544
0.61462892	0.36833795
0.62361832	0.36064447
0.63260772	0.35296242
0.64159711	0.34528891
0.65058651	0.33762077
0.65957591	0.32995440
0.66856531	0.32228573
0.67755471	0.31461006
0.68654410	0.30692188
0.69553350	0.29921458
0.70452290	0.29148010
0.71351230	0.28370819
0.72250169	0.27588542
0.73149109	0.26799316
0.74048049	0.26000355
