density	effective_diffusion
0.241097	0.892196
0.250558	0.887968
0.258127	0.885148
0.263801	0.880924
0.274212	0.878805
0.284619	0.874576
0.293136	0.871756
0.303544	0.868231
0.312058	0.864004
0.319626	0.860481
0.326250	0.858365
0.332873	0.855547
0.341389	0.852726
0.347065	0.849908
0.356528	0.847087
0.362205	0.844972
0.369776	0.842856
0.379239	0.840034
0.386807	0.836512
0.398160	0.831579
0.406677	0.828759
0.416141	0.826640
0.422762	0.823119
0.430331	0.819596
0.437901	0.817479
0.446416	0.813956
0.454931	0.810432
0.462500	0.806909
0.471962	0.803385
0.478584	0.800566
0.487100	0.797745
0.493722	0.794223
0.503186	0.792105
0.510755	0.788582
0.519272	0.786465
0.528731	0.781534
0.534406	0.778013
0.544817	0.775894
0.551438	0.771669
0.560901	0.768848
0.568469	0.765325
0.573197	0.761804
0.582661	0.759686
0.590226	0.754054
0.596847	0.749829
0.604415	0.746306
0.611982	0.742080
0.618603	0.737854
0.623330	0.733631
0.630897	0.729405
0.637519	0.725883
0.646976	0.719545
0.652652	0.716727
0.660218	0.711798
0.664943	0.706168
0.673453	0.699831
0.679127	0.695607
0.683852	0.689977
0.688579	0.685753
0.695195	0.678715
0.699921	0.673788
0.706539	0.668156
0.710320	0.664637
0.715043	0.657600
0.718823	0.653378
0.721658	0.649859
0.724491	0.645637
0.728269	0.640008
0.731098	0.632973
0.734875	0.626640
0.737708	0.621715
0.739595	0.618197
