density	effective_diffusion
0.285489	0.904971
0.300704	0.900764
0.317818	0.897261
0.333034	0.892703
0.350151	0.888146
0.365366	0.883939
0.382482	0.879733
0.397695	0.876228
0.416716	0.870619
0.423372	0.868866
0.429078	0.867113
0.438585	0.865361
0.449996	0.862557
0.462355	0.860105
0.469961	0.858704
0.478517	0.856952
0.484224	0.855199
0.491832	0.852744
0.498488	0.851343
0.507043	0.849942
0.514650	0.848190
0.524158	0.846087
0.530814	0.844334
0.540321	0.842583
0.546026	0.841181
0.554586	0.838376
0.561242	0.836974
0.571700	0.834872
0.578355	0.833471
0.587863	0.831368
0.593568	0.829966
0.600225	0.828213
0.608782	0.826461
0.616388	0.824709
0.623997	0.822255
0.629703	0.820502
0.637311	0.818398
0.644918	0.816646
0.652524	0.814894
0.660132	0.812790
0.665839	0.810686
0.674398	0.808232
0.678206	0.806127
0.686766	0.803321
0.692473	0.801217
0.700084	0.798060
0.704840	0.796307
0.713401	0.793502
0.717207	0.791748
0.723869	0.788239
0.729575	0.786486
0.737188	0.782627
0.741946	0.780523
