density	effective_diffusion
0.30000000	0.65628971
0.30456324	0.65156675
0.30912648	0.64685375
0.31368972	0.64215043
0.31825296	0.63745651
0.32281620	0.63277172
0.32737944	0.62809578
0.33194268	0.62342840
0.33650592	0.61876928
0.34106916	0.61411813
0.34563240	0.60947465
0.35019564	0.60483853
0.35475888	0.60020946
0.35932212	0.59558712
0.36388536	0.59097118
0.36844860	0.58636132
0.37301185	0.58175718
0.37757509	0.57715843
0.38213833	0.57256470
0.38670157	0.56797563
0.39126481	0.56339083
0.39582805	0.55880991
0.40039129	0.55423248
0.40495453	0.54965811
0.40951777	0.54508637
0.41408101	0.54051680
0.41864425	0.53594894
0.42320749	0.53138230
0.42777073	0.52681635
0.43233397	0.52225056
0.43689721	0.51768435
0.44146045	0.51311712
0.44602369	0.50854823
0.45058693	0.50397699
0.45515017	0.49940266
0.45971341	0.49482446
0.46427665	0.49024153
0.46883989	0.48565294
0.47340313	0.48105766
0.47796637	0.47645458
0.48252961	0.47184244
0.48709285	0.46721983
0.49165609	0.46258515
0.49621933	0.45793655
0.50078257	0.45327189
0.50534581	0.44858860
0.50990905	0.44388354
0.51447229	0.43915278
0.51903554	0.43439120
0.52359878	0.42959179
