density	effective_diffusion
0.184329	0.915452
0.193789	0.910521
0.204196	0.906293
0.214604	0.902064
0.226905	0.897834
0.237310	0.892199
0.247720	0.889377
0.256234	0.885150
0.266641	0.880921
0.276101	0.875990
0.288398	0.869650
0.295968	0.866831
0.302590	0.863309
0.313944	0.859079
0.322454	0.852743
0.329078	0.850627
0.335701	0.847808
0.342323	0.844286
0.347999	0.841468
0.351783	0.840059
0.356514	0.837945
0.362188	0.834424
0.366919	0.832310
0.377327	0.828784
0.383003	0.825966
0.389624	0.821741
0.399085	0.817513
0.402867	0.814697
0.408543	0.811879
0.413271	0.808359
0.418000	0.805542
0.422731	0.803428
0.431244	0.798498
0.435025	0.794978
0.442592	0.790752
0.446376	0.788639
0.450160	0.786526
0.453943	0.784413
0.457723	0.780190
0.461506	0.777374
0.471909	0.770332
0.476636	0.766109
0.481364	0.762588
0.484201	0.760476
0.488931	0.758362
0.492713	0.754843
0.496494	0.751323
0.499330	0.748508
0.505002	0.743580
0.513507	0.733727
0.517289	0.730208
0.522011	0.723171

