density	effective_diffusion
0.283593	0.903566
0.284480	0.903566
0.289220	0.901812
0.292152	0.901112
0.300592	0.898306
0.301663	0.897956
0.310067	0.895852
0.312124	0.895151
0.318596	0.893398
0.321634	0.892347
0.328072	0.890593
0.330193	0.889893
0.337801	0.887789
0.342288	0.886035
0.344459	0.885334
0.350820	0.882528
0.351120	0.882177
0.358403	0.879722
0.360632	0.879021
0.365039	0.876916
0.366340	0.876566
0.372996	0.875164
0.375459	0.875165
0.377751	0.873762
0.382509	0.871306
0.383044	0.871657
0.392522	0.868150
0.392969	0.868501
0.398208	0.866397
0.401530	0.865696
0.402946	0.865345
0.408188	0.863241
0.411476	0.862189
0.414846	0.861138
0.417164	0.860085
0.424359	0.857279
0.424745	0.857630
0.431383	0.854473
0.431971	0.854123
0.436728	0.852018
0.438018	0.852018
0.443706	0.849563
0.445288	0.849213
0.449392	0.847810
0.451946	0.847109
0.454131	0.846056
0.457653	0.845005
0.460766	0.843601
0.462412	0.842549
0.469070	0.840094
0.469298	0.840094
0.474782	0.836585
0.474989	0.836936
0.482390	0.834482
0.483521	0.833429
0.486195	0.833079
0.488262	0.830973
0.490002	0.830974
0.493952	0.828166
0.495714	0.827465
0.500590	0.824658
0.501425	0.824308
0.507227	0.821501
0.508084	0.821853
0.512843	0.819046
0.514813	0.817993
0.518553	0.816239
0.522401	0.813432
0.523314	0.813081
